date,close,band,btc_weight_after,action,trade_usd,cash_after,btc_after,value_after
2020-11-24 00:00:00+00:00,19160.01,0.03,0.92479,none,0.0,56.538,0.036282422000523264,751.7096
2020-12-01 00:00:00+00:00,18764.96,0.03,0.9,buy,27.8004,78.7376,0.03776244468295983,787.3484
2020-12-08 00:00:00+00:00,18324.11,0.03,0.89784,none,0.0,78.7376,0.03776244468295983,770.7008
2020-12-15 00:00:00+00:00,19426.43,0.03,0.90307,none,0.0,78.7376,0.03776244468295983,812.3271
2020-12-22 00:00:00+00:00,23810.79,0.03,0.91948,none,0.0,78.7376,0.03776244468295983,977.8913
2020-12-29 00:00:00+00:00,27385.0,0.03,0.88929,none,0.0,128.7376,0.03776244468295983,1162.8622
2021-01-05 00:00:00+00:00,33949.53,0.03,0.90875,none,0.0,128.7376,0.03776244468295983,1410.7549
2021-01-12 00:00:00+00:00,34051.24,0.03,0.90899,none,0.0,128.7376,0.03776244468295983,1414.5957
2021-01-19 00:00:00+00:00,35891.49,0.03,0.91325,none,0.0,128.7376,0.03776244468295983,1484.088
2021-01-26 00:00:00+00:00,32467.77,0.03,0.90498,none,0.0,128.7376,0.03776244468295983,1354.8
2021-02-02 00:00:00+00:00,35466.24,0.03,0.88226,none,0.0,178.7376,0.03776244468295983,1518.0295
2021-02-09 00:00:00+00:00,46420.42,0.03,0.90747,none,0.0,178.7376,0.03776244468295983,1931.6862
2021-02-16 00:00:00+00:00,49133.45,0.03,0.91213,none,0.0,178.7376,0.03776244468295983,2034.1368
2021-02-23 00:00:00+00:00,48891.0,0.03,0.91173,none,0.0,178.7376,0.03776244468295983,2024.9813
2021-03-02 00:00:00+00:00,48440.65,0.03,0.88885,none,0.0,228.7376,0.03776244468295983,2057.975
2021-03-09 00:00:00+00:00,54884.5,0.03,0.90061,none,0.0,228.7376,0.03776244468295983,2301.3105
2021-03-16 00:00:00+00:00,56900.75,0.03,0.90379,none,0.0,228.7376,0.03776244468295983,2377.449
2021-03-23 00:00:00+00:00,54340.89,0.03,0.89971,none,0.0,228.7376,0.03776244468295983,2280.7825
2021-03-30 00:00:00+00:00,58746.57,0.03,0.88838,none,0.0,278.7376,0.03776244468295983,2497.1517
2021-04-06 00:00:00+00:00,57991.15,0.03,0.88709,none,0.0,278.7376,0.03776244468295983,2468.6252
