date,close,btc_weight,fng,warchest,slices_remaining,action,trade_usd,deployed_usd,cash_after,btc_after,value_after
2021-08-03 00:00:00+00:00,38207.05,1.0,48,359.2723,0,deploy+trim,-26.099,0.0,0.0,0.02292807610944738,1235.2864750292706
2021-08-10 00:00:00+00:00,45584.99,1.0,71,442.8028,0,trim,-83.5305,0.0,0.0,0.02109383002069159,1404.3648307905933
2021-08-17 00:00:00+00:00,44695.95,1.0,72,518.1521,0,trim,-75.3493,0.0,0.0,0.019406323619036263,1385.5361474472443
2021-08-24 00:00:00+00:00,47674.01,1.0,79,592.0922,0,trim,-73.9402,0.0,0.0,0.017853817729513364,1443.2553293828494
2021-08-31 00:00:00+00:00,47100.89,1.0,73,663.2914,0,deploy+trim,-21.1992,0.0,0.0,0.01740116266510527,1482.901678909314
2021-09-07 00:00:00+00:00,46863.73,1.0,79,728.4649,0,trim,-65.1734,0.0,0.0,0.016009069651896853,1478.709580500552
2021-09-14 00:00:00+00:00,47111.52,1.0,30,788.7415,0,trim,-60.2766,0.0,0.0,0.014728344079745105,1482.6161309411882
2021-09-21 00:00:00+00:00,40734.38,1.0,27,836.6895,0,trim,-47.948,0.0,0.0,0.013550076553365495,1388.6434227793216
2021-09-28 00:00:00+00:00,41026.54,1.0,25,663.8325,3,deploy+trim+warchest_buy,222.857,221.2775,0.0,0.018974302033658682,1442.2824666227798
2021-10-05 00:00:00+00:00,51471.99,1.0,59,741.886,0,trim,-78.0535,0.0,0.0,0.01745635787096599,1640.399458193497
2021-10-12 00:00:00+00:00,55996.93,1.0,78,820.008,0,trim,-78.122,0.0,0.0,0.01605984924128871,1719.3102299821653
2021-10-19 00:00:00+00:00,64280.59,1.0,75,902.5123,0,trim,-82.5043,0.0,0.0,0.014775061301985613,1852.2619738214958
2021-10-26 00:00:00+00:00,60328.81,1.0,76,973.75,0,trim,-71.2376,0.0,0.0,0.013593056397826764,1793.802873120253
2021-11-02 00:00:00+00:00,63219.99,1.0,73,1046.4214,0,deploy+trim,-22.6715,0.0,0.0,0.013232502225590997,1882.9801016853585
2021-11-09 00:00:00+00:00,66947.66,1.0,84,1117.2214,0,trim,-70.7999,0.0,0.0,0.012173902047543718,1932.2356324518319
2021-11-16 00:00:00+00:00,60058.87,1.0,71,1175.6549,0,trim,-58.4336,0.0,0.0,0.01119998988374022,1848.3136857016957
2021-11-23 00:00:00+00:00,57541.27,1.0,33,1227.1603,0,trim,-51.5054,0.0,0.0,0.010303990693041004,1820.0650342390395
2021-11-30 00:00:00+00:00,56950.56,1.0,40,1278.0508,0,deploy+trim,-0.8905,0.0,0.0,0.01028658185252604,1863.877422453537
2021-12-07 00:00:00+00:00,50588.95,1.0,25,989.7301,3,trim+warchest_buy,288.3207,329.91,0.0,0.015978519441119304,1798.0666594385689
