date,close,btc_weight,drip_pending,held_cash,action,trade_usd,cash_after,btc_after,value_after
2021-03-30 00:00:00+00:00,58746.57,1.0,385.826,0.0,trim,-161.4493,0.0,0.0316363225724211,1858.525438543316
2021-04-06 00:00:00+00:00,57991.15,1.0,391.6988,0.0,trim,-158.836,0.0,0.03152967136731805,1828.4419017128464
2021-04-13 00:00:00+00:00,63575.0,1.0,409.0903,0.0,trim,-172.5907,0.0,0.0312509548989565,1986.7794577011593
2021-04-20 00:00:00+00:00,56425.0,1.0,402.9128,0.0,trim,-153.6895,0.0,0.031354875623351125,1769.1988570475871
2021-04-27 00:00:00+00:00,55011.97,1.0,392.0304,0.0,trim,-150.7589,0.0,0.03154701318834233,1735.4633431066925
2021-05-04 00:00:00+00:00,53200.01,1.0,383.8756,0.0,trim,-150.8139,0.0,0.03263338345179639,1736.0963259694024
2021-05-11 00:00:00+00:00,56670.02,1.0,387.2431,0.0,trim,-160.3308,0.0,0.03256835865168913,1845.6495361583961
2021-05-18 00:00:00+00:00,42849.78,1.0,357.1642,0.0,trim,-123.8194,0.0,0.033263836817421455,1425.3480895824096
2021-05-25 00:00:00+00:00,38324.72,1.0,324.3086,0.0,trim,-113.5752,0.0,0.03411434270196338,1307.4226320367902
2021-06-01 00:00:00+00:00,36693.09,1.0,302.1554,0.0,trim,-114.9816,0.0,0.036072505002756335,1323.6116725915883
2021-06-08 00:00:00+00:00,33380.81,1.0,280.4463,0.0,trim,-106.4677,0.0,0.03671581834695387,1225.6037562341812
2021-06-15 00:00:00+00:00,40144.04,1.0,292.6897,0.0,trim,-126.9543,0.0,0.036404809459317664,1461.4361271272267
2021-06-22 00:00:00+00:00,32509.56,1.0,281.0017,0.0,trim,-103.8068,0.0,0.03675758323297869,1194.9728575675147
2021-06-29 00:00:00+00:00,35911.73,1.0,286.464,0.0,trim,-118.5148,0.0,0.0379899408789383,1364.284499560395
2021-07-06 00:00:00+00:00,34220.01,1.0,285.522,0.0,trim,-112.9939,0.0,0.038010832319472,1300.731062080655
2021-07-13 00:00:00+00:00,32729.77,1.0,278.6088,0.0,trim,-108.6543,0.0,0.03821519906043481,1250.7746757522475
2021-07-20 00:00:00+00:00,29790.35,1.0,267.4625,0.0,trim,-99.8461,0.0,0.03858227770047354,1149.3795564943018
2021-07-27 00:00:00+00:00,39457.87,1.0,287.9109,0.0,trim,-130.4508,0.0,0.03805794454626774,1501.6854283738417
2021-08-03 00:00:00+00:00,38207.05,1.0,304.1477,0.0,trim,-129.2231,0.0,0.0389339837186825,1487.5526626388883
2021-08-10 00:00:00+00:00,45584.99,1.0,338.2914,0.0,trim,-151.1872,0.0,0.03817908518480101,1740.3932163583022
2021-08-17 00:00:00+00:00,44695.95,1.0,357.1879,0.0,trim,-146.5732,0.0,0.03775016793000993,1687.2796182913273
2021-08-24 00:00:00+00:00,47674.01,1.0,372.7879,0.0,trim,-154.9586,0.0,0.0374167686573807,1783.8074031396543
2021-08-31 00:00:00+00:00,47100.89,1.0,383.758,0.0,trim,-156.4556,0.0,0.03823793747814535,1801.0408869850014
2021-09-07 00:00:00+00:00,46863.73,1.0,386.8379,0.0,trim,-155.3736,0.0,0.03816564856051763,1788.5846494149869
2021-09-14 00:00:00+00:00,47111.52,1.0,389.4398,0.0,trim,-155.9422,0.0,0.03810385107724419,1795.1303421026112
2021-09-21 00:00:00+00:00,40734.38,1.0,370.2338,0.0,trim,-136.4765,0.0,0.038568169584935606,1571.0504757772092
2021-09-28 00:00:00+00:00,41026.54,1.0,361.6835,0.0,trim,-142.5117,0.0,0.03998692314717362,1640.5251019744444
2021-10-05 00:00:00+00:00,51471.99,1.0,390.3819,0.0,trim,-176.2743,0.0,0.03942307502316401,2029.1841233615476
2021-10-12 00:00:00+00:00,55996.93,1.0,426.2095,0.0,trim,-188.6287,0.0,0.03877716125938873,2171.4019846407027
2021-10-19 00:00:00+00:00,64280.59,1.0,477.2988,0.0,trim,-212.0622,0.0,0.03797656797218632,2441.15619542724
2021-10-26 00:00:00+00:00,60328.81,1.0,494.8936,0.0,trim,-197.464,0.0,0.03767866272203339,2273.1088844116352
2021-11-02 00:00:00+00:00,63219.99,1.0,511.1089,0.0,trim,-209.8226,0.0,0.03820588573434812,2415.3757140666307
2021-11-09 00:00:00+00:00,66947.66,1.0,529.6607,0.0,trim,-220.5462,0.0,0.03792246175850309,2538.8200761712674
2021-11-16 00:00:00+00:00,60058.87,1.0,518.4755,0.0,trim,-198.7885,0.0,0.0381018899806664,2288.356457103146
2021-11-23 00:00:00+00:00,57541.27,1.0,503.5386,0.0,trim,-191.7185,0.0,0.03835454855757964,2206.9694342798
2021-11-30 00:00:00+00:00,56950.56,1.0,493.2667,0.0,trim,-194.947,0.0,0.03940496141117541,2244.1346191448297
2021-12-07 00:00:00+00:00,50588.95,1.0,467.1714,0.0,trim,-175.4048,0.0,0.039913337573747945,2019.173838851456
2021-12-14 00:00:00+00:00,48343.28,1.0,446.3524,0.0,trim,-169.3957,0.0,0.040336543952407385,1950.000838523537
2021-12-21 00:00:00+00:00,48889.88,1.0,435.6921,0.0,trim,-172.2062,0.0,0.04054732435106047,1982.3538218444241
2021-12-28 00:00:00+00:00,47543.74,1.0,425.9818,0.0,trim,-168.2781,0.0,0.040744277388924416,1937.1353306669012
2022-01-04 00:00:00+00:00,45832.01,1.0,421.5729,0.0,trim,-166.9123,0.0,0.041922940893301605,1921.4126462512081
2022-01-11 00:00:00+00:00,42729.29,1.0,409.0473,0.0,trim,-156.6725,0.0,0.04220844932397441,1803.5370716144066
2022-01-18 00:00:00+00:00,42352.12,1.0,399.1512,0.0,trim,-156.1212,0.0,0.042434501004005316,1797.1910786617539
2022-01-25 00:00:00+00:00,36958.32,1.0,375.4282,0.0,trim,-138.2729,0.0,0.04306826009566891,1591.730538458962
2022-02-01 00:00:00+00:00,38694.59,1.0,370.4477,0.0,trim,-149.5142,0.0,0.04447999028354613,1721.134987225801
2022-02-08 00:00:00+00:00,44042.99,1.0,388.8559,0.0,trim,-168.5534,0.0,0.044054790420035225,1940.3046939217072
2022-02-15 00:00:00+00:00,44544.86,1.0,404.8013,0.0,trim,-169.0609,0.0,0.04368958991864123,1946.1466663832853
2022-02-22 00:00:00+00:00,38230.33,1.0,394.4218,0.0,trim,-145.9708,0.0,0.043953179425149466,1680.3445539726745
2022-03-01 00:00:00+00:00,44421.2,1.0,408.8156,0.0,trim,-172.6687,0.0,0.0447461568467903,1987.677982522641
2022-03-08 00:00:00+00:00,38730.63,1.0,396.3561,0.0,trim,-151.6039,0.0,0.045059699448323304,1745.1905472442138
2022-03-15 00:00:00+00:00,39280.33,1.0,390.7457,0.0,trim,-154.2157,0.0,0.04519452974830219,1775.2560427081269
2022-03-22 00:00:00+00:00,42364.13,1.0,400.1121,0.0,trim,-165.4812,0.0,0.04496584177216771,1904.938766395543
2022-03-29 00:00:00+00:00,47434.8,1.0,426.4304,0.0,trim,-187.3107,0.0,0.04545668890552906,2156.22894689599
2022-04-05 00:00:00+00:00,45497.55,1.0,440.2114,0.0,trim,-178.4339,0.0,0.04514624878336717,2054.043711333687
2022-04-12 00:00:00+00:00,40074.94,1.0,427.1264,0.0,trim,-158.2753,0.0,0.04546453326638429,1821.9884427783545
2022-04-19 00:00:00+00:00,41493.18,1.0,419.2801,0.0,trim,-164.529,0.0,0.04564550814231154,1893.9772855403983
2022-04-26 00:00:00+00:00,38112.65,1.0,399.9209,0.0,trim,-152.778,0.0,0.04614492696121468,1758.7054505483388
2022-05-03 00:00:00+00:00,37728.95,1.0,392.6037,0.0,trim,-156.1869,0.0,0.04765430711668786,1797.9469704901603
2022-05-10 00:00:00+00:00,31017.1,1.0,365.4011,0.0,trim,-130.7398,0.0,0.04852201334879894,1505.0121402410314
2022-05-17 00:00:00+00:00,30444.93,1.0,344.465,0.0,trim,-130.1223,0.0,0.04920044507409122,1497.9041062495521
2022-05-24 00:00:00+00:00,29654.58,1.0,329.9868,0.0,trim,-127.9785,0.0,0.049679549449753745,1473.2261735216784
2022-05-31 00:00:00+00:00,31801.04,1.0,334.8632,0.0,trim,-141.1333,0.0,0.05108818396540256,1624.6573818111253
2022-06-07 00:00:00+00:00,31125.33,1.0,340.0318,0.0,trim,-137.662,0.0,0.050913443946854375,1584.697744282345
2022-06-14 00:00:00+00:00,22136.41,1.0,306.5973,0.0,trim,-100.7896,0.0,0.05241320577513641,1160.2402124527873
2022-06-21 00:00:00+00:00,20723.52,1.0,276.6455,0.0,trim,-96.939,0.0,0.05384770844580693,1115.9140629308488
2022-06-28 00:00:00+00:00,20281.29,1.0,258.2986,0.0,trim,-100.7841,0.0,0.05720433901998056,1160.1777889225416
2022-07-05 00:00:00+00:00,20175.83,1.0,250.2003,0.0,trim,-100.9453,0.0,0.0575953144521518,1162.033273183158
2022-07-12 00:00:00+00:00,19328.75,1.0,247.2796,0.0,trim,-96.9438,0.0,0.05773623558601879,1115.9692635832607
2022-07-19 00:00:00+00:00,23396.62,1.0,264.2315,0.0,trim,-115.855,0.0,0.057002505412165234,1333.6659581763734
2022-07-26 00:00:00+00:00,21254.67,1.0,265.7021,0.0,trim,-105.1026,0.0,0.05692349180838663,1209.890033634961
2022-08-02 00:00:00+00:00,22987.79,1.0,277.9215,0.0,trim,-116.9311,0.0,0.05855517465397333,1346.0540583588615
2022-08-09 00:00:00+00:00,23149.95,1.0,286.2282,0.0,trim,-117.0148,0.0,0.05818659994757634,1347.016879456395
2022-08-16 00:00:00+00:00,23854.74,1.0,292.5132,0.0,trim,-120.0109,0.0,0.05791332432978338,1381.507294422657
2022-08-23 00:00:00+00:00,21529.12,1.0,286.5573,0.0,trim,-108.8089,0.0,0.058179580430757404,1252.5551686434278
2022-08-30 00:00:00+00:00,19811.66,1.0,276.2132,0.0,trim,-105.3473,0.0,0.061211782876656136,1212.7070303461333
2022-09-06 00:00:00+00:00,18790.61,1.0,264.3478,0.0,trim,-100.9301,0.0,0.061831855387500176,1161.8582801629148
2022-09-13 00:00:00+00:00,20173.57,1.0,263.9478,0.0,trim,-108.3743,0.0,0.061840915236696235,1247.552032391558
2022-09-20 00:00:00+00:00,18875.0,1.0,259.8213,0.0,trim,-101.7387,0.0,0.062048532657435734,1171.1660539090994
2022-09-27 00:00:00+00:00,19079.13,1.0,258.6467,0.0,trim,-102.923,0.0,0.06209924098614636,1184.7994916760147
2022-10-04 00:00:00+00:00,20337.82,1.0,268.346,0.0,trim,-113.1908,0.0,0.06406768906027398,1302.9971279238214
2022-10-11 00:00:00+00:00,19060.0,1.0,267.8895,0.0,trim,-106.1002,0.0,0.0640804760162531,1221.373872869784
2022-10-18 00:00:00+00:00,19327.44,1.0,269.3453,0.0,trim,-107.4439,0.0,0.06399410610085841,1236.842246017975
2022-10-25 00:00:00+00:00,20080.07,1.0,273.2044,0.0,trim,-111.2737,0.0,0.06379102029354072,1280.9281528657182
2022-11-01 00:00:00+00:00,20483.62,1.0,280.8661,0.0,trim,-117.1638,0.0,0.0658444445248032,1348.7325807571492
